,artists,track_name,album_name,y_target
63102,BURNOUT SYNDROMES,ヒカリアレ,檸檬,0
64703,Zmeyev;Screen Jazzmaster;DreamBetter,The Calm Place,The Calm Place,0
101902,Tine Mydland,I din nærhet,I din nærhet,0
72408,Trivium,Dying in Your Arms,Ascendancy,0
81940,Arijit Singh;Asees Kaur,Bandeya Rey Bandeya,Simmba,0
2709,The Strokes,Last Nite,Is This It,0
73020,Boris Brejcha,Lost Memory,Lost Memory,0
23385,CALVO;DAZZ,Let Me Love You - DAZZ Remix,Let Me Love You (Remixes),0
8609,Ella Fitzgerald;Louis Armstrong,Autumn In New York,Ella And Louis Again,0
25170,Cyndi Lauper,Time After Time,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),0
65372,Kep1er,WA DA DA,FIRST IMPACT,0
30524,Armin van Buuren;Hardwell,Ping Pong - Hardwell Remix,Ping Pong (Hardwell Remix),0
70524,Karen Mok,如果沒有你,如果沒有你,0
53655,Travis Scott,MAFIA,ESCAPE PLAN / MAFIA,0
11714,Amy Winehouse,Will You Still Love Me Tomorrow? - 2011,Lioness: Hidden Treasures,0
107065,Dead Or Alive,You Spin Me Round (Like a Record),Evolution: The Hits,0
4263,Alexis Ffrench,Wishing,Dreamland,0
83969,Swedish House Mafia,For You,Paradise Again,0
21116,Wizkid,Bad To Me,Bad To Me,0
72215,The Plot In You,Face Me,Swan Song,0
53969,Rita Ora,Your Song,Phoenix (Deluxe),0
87704,Travis,Sing,The Invisible Band,0
81464,Tanveer Evan;Ahmed Shakib,Maine Royaan (Lofi Remix),Maine Royaan (Lofi Remix),0
67951,Enrique Iglesias;Ludacris;DJ Frank E,Tonight (I'm Lovin' You),Euphoria,0
67152,Sofía Reyes;Jason Derulo;De La Ghetto,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Mal De Amores,0
79632,Keane,Somewhere Only We Know - BBC Steve Lamacq Session / 2003,Hopes And Fears (Deluxe Edition),0
31153,Bazzi;Camila Cabello,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),0
2620,Alter Bridge,Metalingus,One Day Remains,0
20812,Jay Sean,Ride It (Kya Yehi Pyar Hai),My Own Way,0
36050,Vegedream,Ramenez la coupe à la maison,Ramenez la coupe à la maison,0
33411,Jimmy Eat World,Hear You Me,Bleed American,0
65033,BLACKPINK,Pink Venom,BORN PINK,0
70002,Jay Chou,青花瓷,我很忙,0
4341,Ludovico Einaudi,Time Lapse,In A Time Lapse,0
65019,BLACKPINK,Shut Down,BORN PINK,0
89764,Feid,Normal,Normal,0
