,artists,track_name,album_name,y_target
43,YUZU,Reason,Land,0
42,Los Caligaris;Manuel Moretti,Vereda - En Vivo,20 Años: El Show Más Feliz del Mundo (En Vivo),0
19,Tim Maia,O Descobridor dos Sete Mares,Tim Maia In Concert,0
17,Lulu Santos,O Descobridor dos Sete Mares,Focus - O Essencial de Lulu Santos,0
16,The Beatles,Martha My Dear - Remastered 2009,The Beatles (Remastered),0
33,NURKO;Luma,Breathe Without,Breathe Without,0
25,Charlie Brown Jr.,Quinta-Feira - Ao Vivo,Acústico (Ao Vivo),0
35,Tanmaya Bhatnagar,Kahaani,Kahaani,0
9,KISS,I Love It Loud,Creatures Of The Night,0
13,Tim Maia,O Descobridor dos Sete Mares,Tim Maia In Concert,0
26,Asu Maralman,Yalanmış,Yalanmış - Yalnızlık,0
6,Horizon Blue;Music Travel Love,Have You Ever Seen The Rain,Have You Ever Seen The Rain,0
1,Tim Maia,O Descobridor dos Sete Mares,Tim Maia In Concert,0
40,KiLLATK,Mangeshkar,Mangeshkar,0
2,The Rolling Stones,Angie,Goats Head Soup (Remastered 2009),0
27,Izïa,Qui nous sommes,La vitesse,1
28,Jefferson Airplane,Today,Surrealistic Pillow,1
29,Gerson Rufino,Grandioso És Tú,Harpa Cristã,1
30,Fisher,Jesteś aniołem,Czym jest miłość,1
36,Salim–Sulaiman;Sonu Nigam;Shreya Ghoshal;Jaideep Sahni,Ishq Hua,Aaja Nachle,1
41,Pedropiedra,Las Niñas Quieren...,Pedropiedra (Reedición),1
32,Håkan Hellström,Jag har varit i alla städer,Ett kolikbarns bekännelser,1
39,William Black;Fairlane,Broken,Broken,1
34,Joe Satriani,If I Could Fly,Is There Love In Space?,1
38,Ramil Ganjoo,"Tu Na Jaane - From ""Gulmohar""","Tu Na Jaane (From ""Gulmohar"")",1
37,Sick Individuals,I Want You,I Want You,1
31,Nusrat Fateh Ali Khan,Gardashon Ke Hain Mare Huyiyie,Dillagi Vol 2,1
0,Cream,White Room,Wheels Of Fire,1
23,Pritam;Mohit Chauhan,Abhi Kuch Dino Se,Dil Toh Baccha Hai Ji,1
22,Limsa d'Aulnay;JeanJass,Ca M'arrange,"Logique, Pt. 2",1
20,Bob Dylan,Like a Rolling Stone,Highway 61 Revisited,1
18,Creedence Clearwater Revival,Have You Ever Seen The Rain,Pendulum (Expanded Edition),1
15,Cream,White Room,Wheels Of Fire,1
14,Roberto Carlos,É Proibido Fumar - Versão remasterizada,É Proibido Fumar (Remasterizado),1
12,Alceu Valença,La Belle de Jour,Sem Pensar No Amanhã,1
11,Van Halen,Jump - 2015 Remaster,1984 (Remastered),1
10,Van Halen,Jump - 2015 Remaster,The Collection,1
8,Cream,White Room,Wheels Of Fire,1
7,Van Halen,Jump - 2015 Remaster,1984 (Remastered),1
5,Bob Dylan,Like a Rolling Stone,Highway 61 Revisited,1
4,Bob Dylan,Like a Rolling Stone,Highway 61 Revisited,1
3,Creedence Clearwater Revival,Have You Ever Seen The Rain,Pendulum (Expanded Edition),1
24,Sigma;Louisa Johnson,Here We Go Again,Hope,1
21,Bob Dylan,Like a Rolling Stone,Highway 61 Revisited,1
