,artists,track_name,album_name,y_target
29220,Tritonal;Angel Taylor;Koven,Getaway - Koven Remix,Getaway (Remixes),0
23632,Harold van Lennep,Liberation,Liberation,0
26105,Mark Benson,I Can't Make You Love Me - Piano Version,Piano Favorites 3,0
265,Roses & Frey,Dance Monkey,Dance Monkey,0
27016,DJ Fresh;Rita Ora,Hot Right Now (feat. RITA ORA) - Radio Edit,Nextlevelism,0
101362,Modal Colours,Moment To Moment,Moment To Moment,0
3971,Slipknot,Before I Forget,Vol. 3: The Subliminal Verses,0
2609,Hinder,Lips Of An Angel,Extreme Behavior,0
57321,Tai Verdes,A-O-K,TV,0
38468,Hot Flash Heat Wave,Gutter Girl,Neapolitan,0
27067,K Motionz;Subsonic,Silverlined,Silverlined,0
32279,Dwin;Gaullin,Lalalalala - Gaullin Remix,Lalalalala (Gaullin Remix),0
31869,Dahl,Can I Kiss You?,Can I Kiss You?,0
51072,Karan Aujla;YG,Gangsta,Way Ahead,0
81974,Ali Azmat,Yeh Jism,Jism 2,0
85102,Cage The Elephant,Trouble,Tell Me I'm Pretty,0
51208,AP Dhillon;Gurinder Gill;Gminxr,Droptop,Droptop,0
106705,Jubël,Weekend Vibe,Weekend Vibe,0
104415,Erpeche,Aire Ke Respiro,Doblando la Dosis,0
28027,SLANDER;Danny Olson;Dylan Matthew,Love Is Gone - Danny Olson Remix,Love Is Gone - Danny Olson Remix,0
49015,Neolux,Invincible,Invincible,0
33382,My Chemical Romance,Mama,The Black Parade,0
104619,Viva Suecia,La Voz Del Presidente,La Voz Del Presidente,0
48411,Story Of The Year,Until the Day I Die,Page Avenue,0
94946,convolk,Swan Dive,SWAN DIVE,0
104106,Pole.;Estopa,Rumbapop,Rumbapop,0
80606,Harshdeep Kaur;Benny Dayal,Uff,Bang Bang (Original Motion Picture Soundtrack),0
19554,The Band Perry,If I Die Young,The Band Perry,0
44158,Linkin Park,By Myself,Hybrid Theory (Bonus Edition),0
51205,Masked Wolf,Astronaut In The Ocean,Astronaut In The Ocean,0
4524,Yann Tiersen,Le moulin,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),0
44186,Linkin Park,Somewhere I Belong,Meteora,0
68550,Bad Bunny;Jhay Cortez,DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,0
99827,Hozier,Sedated,Hozier,0
68965,Maluma;Chencho Corleone,Nos Comemos Vivos,Nos Comemos Vivos,0
15260,Teqkoi;Snøw,I never wanna lose you,I never wanna lose you,0
15726,Yxngxr1,BOY IN BLUE,BOY IN BLUE,0
15886,JUNNY,Not About You,blanc,0
101450,Deep Sleep Music Collective,Sleeping Music (Deep Sleep),"Sleeping Music: Calm Music to Help You Sleep, Natural Sleep Aid and Relaxing Piano for Sleep Music",0
15544,Sarah Kang,once in a moon,once in a moon,0
44402,Daughtry,Over You,Daughtry,0
23851,Buray,Deli Kız,Deli Kız,0
99389,Jillian Rossi,Give Me A Reason,Give Me A Reason,0
84367,The Beatles,I Feel Fine - Remastered 2015,1 (Remastered),1
84969,The Beatles,You're Going To Lose That Girl - Remastered 2009,Help! (Remastered),1
84106,The Beatles,Come Together - Remastered 2009,Abbey Road (Remastered),1
84774,The Beatles,No Reply - Remastered 2009,Beatles For Sale (Remastered),1
11171,The Beatles,Let It Be - Remastered 2015,1 (Remastered),1
99789,Bob Dylan,Like a Rolling Stone,Highway 61 Revisited,1
90701,Marmalade,Reflections Of My Life,Lovin' Things,1
84838,The Beatles,Please Mister Postman - Remastered 2009,With The Beatles (Remastered),1
84291,The Beatles,Get Back - Remastered 2009,Let It Be (Remastered),1
11179,The Beatles,Hey Jude - Remastered 2009,The Beatles 1967 - 1970 (Remastered),1
84288,The Beatles,Penny Lane - Remastered 2009,Magical Mystery Tour (Remastered),1
11718,The Rolling Stones,Wild Horses,Hot Rocks (1964-1971),1
84152,The Beatles,Don't Let Me Down - Remastered 2009,The Beatles 1967 - 1970 (Remastered),1
11498,The Rolling Stones,Brown Sugar - 2009 Remaster,Sticky Fingers (Remastered),1
4300,Ryuichi Sakamoto;alva noto,The Revenant Main Theme,The Revenant (Original Motion Picture Soundtrack),1
19919,Bob Dylan,Mr. Tambourine Man,Bringing It All Back Home,1
84717,The Beatles,I Me Mine - Remastered 2009,Let It Be (Remastered),1
440,Dave Van Ronk,"Hang Me, Oh Hang Me",Folksinger,1
84053,The Beatles,Let It Be - Remastered 2009,Let It Be (Remastered),1
84282,The Beatles,Tomorrow Never Knows - Take 1,Tomorrow Never Knows (Take 1),1
84528,The Beatles,I'm Looking Through You - Remastered 2009,Rubber Soul (Remastered),1
84637,The Beatles,And Your Bird Can Sing - Remastered 2009,Revolver (Remastered),1
84309,The Beatles,I Want You (She's So Heavy) - Remastered 2009,Abbey Road (Remastered),1
15860,slchld,camellia,camellia,1
84563,The Beatles,I've Got A Feeling - Remastered 2009,Let It Be (Remastered),1
84603,The Beatles,Oh! Darling - 2019 Mix,Abbey Road (Super Deluxe Edition),1
11432,The Beatles,Eight Days A Week - Remastered 2009,Beatles For Sale (Remastered),1
34635,Bob Dylan,Like a Rolling Stone,Highway 61 Revisited,1
11377,The Rolling Stones,"Paint It, Black - Mono",The Rolling Stones In Mono (Remastered 2016),1
84371,The Beatles,Taxman - 2022 Mix,Taxman (2022 Mix),1
65483,Alka Yagnik;Kumar Sanu,Dheere Dheere Pyar Ko,Phool Aur Kaante (Original Motion Picture Soundtrack),1
79604,Davignon,Laredo,Laredo,1
11771,The Beatles,Two Of Us - Remastered 2009,Let It Be (Remastered),1
11477,The Beatles,I Feel Fine - Remastered 2015,1 (Remastered),1
84427,The Beatles,Maxwell's Silver Hammer - Remastered 2009,Abbey Road (Remastered),1
11357,The Beatles,Yesterday - Remastered 2015,1 (Remastered),1
84523,The Beatles,Taxman - Remastered 2009,Revolver (Remastered),1
11314,The Beatles,Day Tripper - Remastered 2015,1 (Remastered),1
84550,The Beatles,Julia - Remastered 2009,The Beatles (Remastered),1
113234,Tenth Avenue North,By Your Side,Over And Underneath,1
97062,Jeito Moleque,Me Faz Feliz - Ao Vivo,Me Faz Feliz (Ao Vivo),1
84617,The Beatles,All You Need Is Love,Yellow Submarine Songtrack,1
34526,"Peter, Paul and Mary",500 Miles,"Peter, Paul and Mary",1
11065,The Beatles,"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles (Remastered),1
84853,The Beatles,Help! - Remastered 2015,1 (Remastered),1
84604,The Beatles,Here Comes The Sun - 2019 Mix,Abbey Road (Super Deluxe Edition),1
84231,The Beatles,Back In The U.S.S.R. - Remastered 2009,The Beatles (Remastered),1
84155,The Beatles,And I Love Her - Remastered 2009,A Hard Day's Night (Remastered),1
84625,The Beatles,Paperback Writer - Remastered 2015,1 (Remastered),1
11838,The Beatles,The Fool On The Hill - Remastered 2009,Magical Mystery Tour (Remastered),1
11059,The Beatles,Blackbird - Remastered 2009,The Beatles (Remastered),1
11226,The Beatles,A Hard Day's Night - Remastered 2009,A Hard Day's Night (Remastered),1
74044,Legião Urbana,O Teatro Dos Vampiros - Ao Vivo Em São Paulo / 1999,Acústico (Ao Vivo Em São Paulo / 1999),1
11460,Ben Howard,She Treats Me Well,I Forget Where We Were,1
11930,The Beatles,I Me Mine - Remastered 2009,Let It Be (Remastered),1
77153,Arlindo Cruz,Será que é amor - Ao vivo,Pagode do Arlindo (Ao vivo),1
11478,The Beatles,Taxman - 2022 Mix,Taxman (2022 Mix),1
11596,The Beatles,Dear Prudence - Remastered 2009,The Beatles (Remastered),1
11834,The Beatles,Baby It's You - Remastered 2009,Please Please Me (Remastered),1
11830,The Rolling Stones,Play With Fire - Mono Version,Out Of Our Heads,1
19755,Jordan Davis,Next Thing You Know,Next Thing You Know,1
11717,The Beatles,Julia - Remastered 2009,The Beatles (Remastered),1
89351,Don Omar;Lucenzo,Danza Kuduro,Meet The Orphans,1
11428,The Beatles,I Am The Walrus - Remastered 2009,Magical Mystery Tour (Remastered),1
84659,The Beatles,Mean Mr Mustard - Remastered 2009,Abbey Road (Remastered),1
11456,The Beatles,Don’t Let Me Down - First Rooftop Performance,Let It Be (Super Deluxe),1
11018,The Beatles,Let It Be - Remastered 2009,Let It Be (Remastered),1
90455,Elvis Presley,"You've Lost That Loving Feeling - Live at The International Hotel, Las Vegas",That's the Way It Is,1
84332,The Beatles,Eight Days A Week - Remastered 2009,Beatles For Sale (Remastered),1
11524,The Beatles,I'm Only Sleeping - Remastered 2009,Revolver (Remastered),1
11159,The Beatles,And I Love Her - Remastered 2009,A Hard Day's Night (Remastered),1
11471,The Beatles,"Hello, Goodbye - Remastered 2009",Magical Mystery Tour (Remastered),1
11276,The Beatles,A Day In The Life - Remastered 2009,Sgt. Pepper's Lonely Hearts Club Band (Remastered),1
84451,The Beatles,Because - Remastered 2009,Abbey Road (Remastered),1
11436,The Beatles,Can't Buy Me Love - Remastered 2009,A Hard Day's Night (Remastered),1
11319,The Beatles,She Loves You - Mono / Remastered,1 (Remastered),1
84130,The Beatles,Norwegian Wood (This Bird Has Flown) - Remastered 2009,Rubber Soul (Remastered),1
11229,The Beatles,I Saw Her Standing There - Remastered 2009,Please Please Me (Remastered),1
84222,The Beatles,A Hard Day's Night - Remastered 2009,A Hard Day's Night (Remastered),1
99571,Sufjan Stevens,The Only Thing,Carrie & Lowell,1
84405,The Beatles,If I Fell - Remastered 2009,A Hard Day's Night (Remastered),1
11173,The Rolling Stones,Beast Of Burden - Remastered 1994,Some Girls,1
44193,Alice In Chains,Man in the Box,Facelift,1
70054,Harlem Yu,情非得已,海嘯,1
